2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,041 [INFO] 54: {'endpoints': [36, 37], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,042 [INFO] 55: {'endpoints': [21, 37], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,042 [INFO] 56: {'endpoints': [37, 38], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,045 [INFO] 57: {'endpoints': [22, 38], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,046 [INFO] 58: {'endpoints': [38, 39], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,047 [INFO] 59: {'endpoints': [23, 39], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,048 [INFO] 60: {'endpoints': [39, 40], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,050 [INFO] 61: {'endpoints': [24, 40], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,050 [INFO] 62: {'endpoints': [40, 41], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,051 [INFO] 63: {'endpoints': [25, 41], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,052 [INFO] 64: {'endpoints': [41, 42], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,053 [INFO] 65: {'endpoints': [26, 42], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,053 [INFO] 66: {'endpoints': [42, 43], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,055 [INFO] 67: {'endpoints': [27, 43], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,055 [INFO] 68: {'endpoints': [43, 44], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,055 [INFO] 69: {'endpoints': [28, 44], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,055 [INFO] 70: {'endpoints': [44, 45], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,055 [INFO] 71: {'endpoints': [29, 45], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,061 [INFO] 72: {'endpoints': [45, 46], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,061 [INFO] 73: {'endpoints': [30, 46], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,063 [INFO] 74: {'endpoints': [46, 47], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,064 [INFO] 75: {'endpoints': [31, 47], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,065 [INFO] 76: {'endpoints': [47, 48], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,065 [INFO] 77: {'endpoints': [32, 48], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,066 [INFO] 78: {'endpoints': [33, 49], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,066 [INFO] 79: {'endpoints': [49, 50], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,066 [INFO] 80: {'endpoints': [34, 50], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,067 [INFO] 81: {'endpoints': [50, 51], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,067 [INFO] 82: {'endpoints': [35, 51], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,068 [INFO] 83: {'endpoints': [51, 52], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,068 [INFO] 84: {'endpoints': [36, 52], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,069 [INFO] 85: {'endpoints': [52, 53], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,069 [INFO] 86: {'endpoints': [37, 53], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,069 [INFO] 87: {'endpoints': [53, 54], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,070 [INFO] 88: {'endpoints': [38, 54], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,070 [INFO] 89: {'endpoints': [54, 55], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,071 [INFO] 90: {'endpoints': [39, 55], 'capacity': 10, 'trafficPerc': 0}
