2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,760 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 28752
2024-03-14 16:50:49,762 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 28752
2024-03-14 16:50:49,763 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 28752
2024-03-14 16:50:49,763 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 28752
2024-03-14 16:50:49,764 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, packets sum: 28752
2024-03-14 16:50:49,765 [DEBUG] updateTime: 2024-01-01 00:00:01.900000, packets sum: 28752
2024-03-14 16:50:49,765 [DEBUG] updateTime: 2024-01-01 00:00:02, packets sum: 28752
2024-03-14 16:50:49,766 [DEBUG] updateTime: 2024-01-01 00:00:02.100000, packets sum: 118752
2024-03-14 16:50:49,767 [DEBUG] updateTime: 2024-01-01 00:00:02.200000, packets sum: 118752
2024-03-14 16:50:49,768 [DEBUG] updateTime: 2024-01-01 00:00:02.300000, packets sum: 118752
2024-03-14 16:50:49,769 [DEBUG] updateTime: 2024-01-01 00:00:02.400000, packets sum: 118752
2024-03-14 16:50:49,770 [DEBUG] updateTime: 2024-01-01 00:00:02.500000, packets sum: 118752
2024-03-14 16:50:49,771 [DEBUG] updateTime: 2024-01-01 00:00:02.600000, packets sum: 118752
2024-03-14 16:50:49,774 [DEBUG] updateTime: 2024-01-01 00:00:02.700000, packets sum: 118752
2024-03-14 16:50:49,776 [DEBUG] updateTime: 2024-01-01 00:00:02.800000, packets sum: 118752
2024-03-14 16:50:49,780 [DEBUG] updateTime: 2024-01-01 00:00:02.900000, packets sum: 118752
2024-03-14 16:50:49,781 [DEBUG] updateTime: 2024-01-01 00:00:03, packets sum: 118752
2024-03-14 16:50:49,782 [DEBUG] updateTime: 2024-01-01 00:00:03.100000, packets sum: 113752
2024-03-14 16:50:49,783 [DEBUG] updateTime: 2024-01-01 00:00:03.200000, packets sum: 113752
2024-03-14 16:50:49,784 [DEBUG] updateTime: 2024-01-01 00:00:03.300000, packets sum: 113752
2024-03-14 16:50:49,784 [DEBUG] updateTime: 2024-01-01 00:00:03.400000, packets sum: 113752
2024-03-14 16:50:49,785 [DEBUG] updateTime: 2024-01-01 00:00:03.500000, packets sum: 113752
2024-03-14 16:50:49,786 [DEBUG] updateTime: 2024-01-01 00:00:03.600000, packets sum: 113752
2024-03-14 16:50:49,787 [DEBUG] updateTime: 2024-01-01 00:00:03.700000, packets sum: 113752
2024-03-14 16:50:49,787 [DEBUG] updateTime: 2024-01-01 00:00:03.800000, packets sum: 113752
2024-03-14 16:50:49,787 [DEBUG] updateTime: 2024-01-01 00:00:03.900000, packets sum: 113752
2024-03-14 16:50:49,787 [DEBUG] updateTime: 2024-01-01 00:00:04, packets sum: 113752
2024-03-14 16:50:49,787 [DEBUG] link: frozenset({1, 4})
2024-03-14 16:50:49,796 [DEBUG] updateTime: 2024-01-01 00:00:00.100000, packets sum: 91248
2024-03-14 16:50:49,797 [DEBUG] updateTime: 2024-01-01 00:00:00.200000, packets sum: 91248
2024-03-14 16:50:49,798 [DEBUG] updateTime: 2024-01-01 00:00:00.300000, packets sum: 91248
2024-03-14 16:50:49,800 [DEBUG] updateTime: 2024-01-01 00:00:00.400000, packets sum: 91248
2024-03-14 16:50:49,800 [DEBUG] updateTime: 2024-01-01 00:00:00.500000, packets sum: 91248
2024-03-14 16:50:49,801 [DEBUG] updateTime: 2024-01-01 00:00:00.600000, packets sum: 91248
2024-03-14 16:50:49,804 [DEBUG] updateTime: 2024-01-01 00:00:00.700000, packets sum: 91248
2024-03-14 16:50:49,804 [DEBUG] updateTime: 2024-01-01 00:00:00.800000, packets sum: 91248
2024-03-14 16:50:49,805 [DEBUG] updateTime: 2024-01-01 00:00:00.900000, packets sum: 91248
2024-03-14 16:50:49,806 [DEBUG] updateTime: 2024-01-01 00:00:01, packets sum: 91248
2024-03-14 16:50:49,807 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, packets sum: 45000
2024-03-14 16:50:49,808 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, packets sum: 45000
2024-03-14 16:50:49,809 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, packets sum: 45000
