2024-02-16 16:07:07,408 [INFO] Loading files..
2024-02-16 16:07:30,260 [DEBUG] networkData is type of <class 'list'>
2024-02-16 16:07:30,276 [INFO] Analyzing files..
2024-02-16 16:07:30,276 [DEBUG] SHOWING LINKS STRUCTURE:
2024-02-16 16:07:30,276 [DEBUG] {frozenset({'switch2', 'switch1'}): {'linkID': 1, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch1'}): {'linkID': 2, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch1', 'switch4'}): {'linkID': 3, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch2'}): {'linkID': 4, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch2', 'switch4'}): {'linkID': 5, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch4'}): {'linkID': 6, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}}
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch2', 'switch1'}):
2024-02-16 16:07:30,276 [INFO] endpoint: switch2
2024-02-16 16:07:30,276 [INFO] endpoint: switch1
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch3', 'switch1'}):
2024-02-16 16:07:30,284 [INFO] endpoint: switch3
2024-02-16 16:07:30,285 [INFO] endpoint: switch1
2024-02-16 16:07:30,286 [INFO] Link ID frozenset({'switch1', 'switch4'}):
2024-02-16 16:07:30,290 [INFO] endpoint: switch1
2024-02-16 16:07:30,291 [INFO] endpoint: switch4
2024-02-16 16:07:30,292 [INFO] Link ID frozenset({'switch3', 'switch2'}):
2024-02-16 16:07:30,294 [INFO] endpoint: switch3
2024-02-16 16:07:30,295 [INFO] endpoint: switch2
2024-02-16 16:07:30,296 [INFO] Link ID frozenset({'switch2', 'switch4'}):
2024-02-16 16:07:30,297 [INFO] endpoint: switch2
2024-02-16 16:07:30,298 [INFO] endpoint: switch4
2024-02-16 16:07:30,300 [INFO] Link ID frozenset({'switch3', 'switch4'}):
2024-02-16 16:07:30,301 [INFO] endpoint: switch3
2024-02-16 16:07:30,302 [INFO] endpoint: switch4
2024-02-16 16:07:30,302 [INFO] Simulation parameters:
2024-02-16 16:07:30,303 [INFO] {'simTime': 60, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-02-16 16:07:30,304 [DEBUG] ipaddress is type of: <class 'str'>
2024-02-16 16:07:30,304 [INFO] Switches:
2024-02-16 16:07:30,305 [INFO] Switch name:switch1, address:10.0.0.1
2024-02-16 16:07:30,305 [INFO] Switch name:switch2, address:10.0.0.2
2024-02-16 16:07:30,306 [INFO] Switch name:switch3, address:10.0.0.3
2024-02-16 16:07:30,307 [INFO] Switch name:switch4, address:10.0.0.4
2024-02-16 16:07:30,458 [DEBUG] Traffic percetages:
2024-02-16 16:07:30,459 [DEBUG] link: frozenset({'switch2', 'switch1'})
2024-02-16 16:07:30,498 [DEBUG] updateTime: 2024-01-01 00:00:05.900000, delta traffic: 237500, percentage: 19.000000 %
2024-02-16 16:07:30,499 [DEBUG] updateTime: 2024-01-01 00:00:06, delta traffic: 250000, percentage: 20.000000 %
2024-02-16 16:07:30,499 [DEBUG] updateTime: 2024-01-01 00:00:06.100000, delta traffic: 262500, percentage: 21.000000 %
2024-02-16 16:07:30,500 [DEBUG] updateTime: 2024-01-01 00:00:06.200000, delta traffic: 275000, percentage: 22.000000 %
2024-02-16 16:07:30,501 [DEBUG] updateTime: 2024-01-01 00:00:06.300000, delta traffic: 287500, percentage: 23.000000 %
2024-02-16 16:07:30,501 [DEBUG] updateTime: 2024-01-01 00:00:06.400000, delta traffic: 300000, percentage: 24.000000 %
2024-02-16 16:07:30,502 [DEBUG] updateTime: 2024-01-01 00:00:06.500000, delta traffic: 312500, percentage: 25.000000 %
2024-02-16 16:07:30,503 [DEBUG] updateTime: 2024-01-01 00:00:06.600000, delta traffic: 325000, percentage: 26.000000 %
2024-02-16 16:07:30,503 [DEBUG] updateTime: 2024-01-01 00:00:06.700000, delta traffic: 337500, percentage: 27.000000 %
2024-02-16 16:07:30,504 [DEBUG] updateTime: 2024-01-01 00:00:06.800000, delta traffic: 350000, percentage: 28.000000 %
2024-02-16 16:07:30,505 [DEBUG] updateTime: 2024-01-01 00:00:06.900000, delta traffic: 362500, percentage: 29.000000 %
2024-02-16 16:07:30,506 [DEBUG] updateTime: 2024-01-01 00:00:07, delta traffic: 375000, percentage: 30.000000 %
2024-02-16 16:07:30,507 [DEBUG] updateTime: 2024-01-01 00:00:07.100000, delta traffic: 362500, percentage: 29.000000 %
2024-02-16 16:07:30,507 [DEBUG] updateTime: 2024-01-01 00:00:07.200000, delta traffic: 350000, percentage: 28.000000 %
2024-02-16 16:07:30,508 [DEBUG] updateTime: 2024-01-01 00:00:07.300000, delta traffic: 337500, percentage: 27.000000 %
2024-02-16 16:07:30,508 [DEBUG] updateTime: 2024-01-01 00:00:07.400000, delta traffic: 325000, percentage: 26.000000 %
2024-02-16 16:07:30,509 [DEBUG] updateTime: 2024-01-01 00:00:07.500000, delta traffic: 312500, percentage: 25.000000 %
2024-02-16 16:07:30,509 [DEBUG] updateTime: 2024-01-01 00:00:07.600000, delta traffic: 300000, percentage: 24.000000 %
2024-02-16 16:07:30,510 [DEBUG] updateTime: 2024-01-01 00:00:07.700000, delta traffic: 287500, percentage: 23.000000 %
2024-02-16 16:07:30,511 [DEBUG] updateTime: 2024-01-01 00:00:07.800000, delta traffic: 275000, percentage: 22.000000 %
2024-02-16 16:07:30,511 [DEBUG] updateTime: 2024-01-01 00:00:07.900000, delta traffic: 262500, percentage: 21.000000 %
2024-02-16 16:07:30,512 [DEBUG] updateTime: 2024-01-01 00:00:08, delta traffic: 250000, percentage: 20.000000 %
2024-02-16 16:07:30,512 [DEBUG] updateTime: 2024-01-01 00:00:08.100000, delta traffic: 237500, percentage: 19.000000 %
2024-02-16 16:07:30,513 [DEBUG] updateTime: 2024-01-01 00:00:08.200000, delta traffic: 225000, percentage: 18.000000 %
2024-02-16 16:07:30,514 [DEBUG] updateTime: 2024-01-01 00:00:08.300000, delta traffic: 212500, percentage: 17.000000 %
