2024-02-16 16:07:07,408 [INFO] Loading files..
2024-02-16 16:07:30,260 [DEBUG] networkData is type of <class 'list'>
2024-02-16 16:07:30,276 [INFO] Analyzing files..
2024-02-16 16:07:30,276 [DEBUG] SHOWING LINKS STRUCTURE:
2024-02-16 16:07:30,276 [DEBUG] {frozenset({'switch2', 'switch1'}): {'linkID': 1, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch1'}): {'linkID': 2, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch1', 'switch4'}): {'linkID': 3, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch2'}): {'linkID': 4, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch2', 'switch4'}): {'linkID': 5, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch4'}): {'linkID': 6, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}}
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch2', 'switch1'}):
2024-02-16 16:07:30,276 [INFO] endpoint: switch2
2024-02-16 16:07:30,276 [INFO] endpoint: switch1
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch3', 'switch1'}):
2024-02-16 16:07:30,284 [INFO] endpoint: switch3
2024-02-16 16:07:30,285 [INFO] endpoint: switch1
2024-02-16 16:07:30,286 [INFO] Link ID frozenset({'switch1', 'switch4'}):
2024-02-16 16:07:30,290 [INFO] endpoint: switch1
2024-02-16 16:07:30,291 [INFO] endpoint: switch4
2024-02-16 16:07:30,292 [INFO] Link ID frozenset({'switch3', 'switch2'}):
2024-02-16 16:07:30,294 [INFO] endpoint: switch3
2024-02-16 16:07:30,295 [INFO] endpoint: switch2
2024-02-16 16:07:30,296 [INFO] Link ID frozenset({'switch2', 'switch4'}):
2024-02-16 16:07:30,297 [INFO] endpoint: switch2
2024-02-16 16:07:30,298 [INFO] endpoint: switch4
2024-02-16 16:07:30,300 [INFO] Link ID frozenset({'switch3', 'switch4'}):
2024-02-16 16:07:30,301 [INFO] endpoint: switch3
2024-02-16 16:07:30,302 [INFO] endpoint: switch4
2024-02-16 16:07:30,302 [INFO] Simulation parameters:
2024-02-16 16:07:30,303 [INFO] {'simTime': 60, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-02-16 16:07:30,304 [DEBUG] ipaddress is type of: <class 'str'>
2024-02-16 16:07:30,304 [INFO] Switches:
2024-02-16 16:07:30,305 [INFO] Switch name:switch1, address:10.0.0.1
2024-02-16 16:07:30,305 [INFO] Switch name:switch2, address:10.0.0.2
2024-02-16 16:07:30,306 [INFO] Switch name:switch3, address:10.0.0.3
2024-02-16 16:07:30,307 [INFO] Switch name:switch4, address:10.0.0.4
2024-02-16 16:07:30,458 [DEBUG] Traffic percetages:
2024-02-16 16:07:30,459 [DEBUG] link: frozenset({'switch2', 'switch1'})
2024-02-16 16:07:30,812 [DEBUG] updateTime: 2024-01-01 00:00:42.400000, delta traffic: 425000, percentage: 34.000000 %
2024-02-16 16:07:30,812 [DEBUG] updateTime: 2024-01-01 00:00:42.500000, delta traffic: 437500, percentage: 35.000000 %
2024-02-16 16:07:30,813 [DEBUG] updateTime: 2024-01-01 00:00:42.600000, delta traffic: 450000, percentage: 36.000000 %
2024-02-16 16:07:30,813 [DEBUG] updateTime: 2024-01-01 00:00:42.700000, delta traffic: 462500, percentage: 37.000000 %
2024-02-16 16:07:30,813 [DEBUG] updateTime: 2024-01-01 00:00:42.800000, delta traffic: 475000, percentage: 38.000000 %
2024-02-16 16:07:30,814 [DEBUG] updateTime: 2024-01-01 00:00:42.900000, delta traffic: 487500, percentage: 39.000000 %
2024-02-16 16:07:30,814 [DEBUG] updateTime: 2024-01-01 00:00:43, delta traffic: 500000, percentage: 40.000000 %
2024-02-16 16:07:30,815 [DEBUG] updateTime: 2024-01-01 00:00:43.100000, delta traffic: 512500, percentage: 41.000000 %
2024-02-16 16:07:30,815 [DEBUG] updateTime: 2024-01-01 00:00:43.200000, delta traffic: 525000, percentage: 42.000000 %
2024-02-16 16:07:30,815 [DEBUG] updateTime: 2024-01-01 00:00:43.300000, delta traffic: 537500, percentage: 43.000000 %
2024-02-16 16:07:30,816 [DEBUG] updateTime: 2024-01-01 00:00:43.400000, delta traffic: 550000, percentage: 44.000000 %
2024-02-16 16:07:30,816 [DEBUG] updateTime: 2024-01-01 00:00:43.500000, delta traffic: 562500, percentage: 45.000000 %
2024-02-16 16:07:30,817 [DEBUG] updateTime: 2024-01-01 00:00:43.600000, delta traffic: 575000, percentage: 46.000000 %
2024-02-16 16:07:30,818 [DEBUG] updateTime: 2024-01-01 00:00:43.700000, delta traffic: 587500, percentage: 47.000000 %
2024-02-16 16:07:30,818 [DEBUG] updateTime: 2024-01-01 00:00:43.800000, delta traffic: 600000, percentage: 48.000000 %
2024-02-16 16:07:30,819 [DEBUG] updateTime: 2024-01-01 00:00:43.900000, delta traffic: 612500, percentage: 49.000000 %
2024-02-16 16:07:30,819 [DEBUG] updateTime: 2024-01-01 00:00:44, delta traffic: 625000, percentage: 50.000000 %
2024-02-16 16:07:30,820 [DEBUG] updateTime: 2024-01-01 00:00:44.100000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:30,820 [DEBUG] updateTime: 2024-01-01 00:00:44.200000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:30,820 [DEBUG] updateTime: 2024-01-01 00:00:44.300000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:30,821 [DEBUG] updateTime: 2024-01-01 00:00:44.400000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:30,821 [DEBUG] updateTime: 2024-01-01 00:00:44.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:30,822 [DEBUG] updateTime: 2024-01-01 00:00:44.600000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:30,822 [DEBUG] updateTime: 2024-01-01 00:00:44.700000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:30,823 [DEBUG] updateTime: 2024-01-01 00:00:44.800000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:30,823 [DEBUG] updateTime: 2024-01-01 00:00:44.900000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:30,824 [DEBUG] updateTime: 2024-01-01 00:00:45, delta traffic: 750000, percentage: 60.000000 %
2024-02-16 16:07:30,824 [DEBUG] updateTime: 2024-01-01 00:00:45.100000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:30,824 [DEBUG] updateTime: 2024-01-01 00:00:45.200000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:30,825 [DEBUG] updateTime: 2024-01-01 00:00:45.300000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:30,825 [DEBUG] updateTime: 2024-01-01 00:00:45.400000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:30,826 [DEBUG] updateTime: 2024-01-01 00:00:45.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:30,826 [DEBUG] updateTime: 2024-01-01 00:00:45.600000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:30,827 [DEBUG] updateTime: 2024-01-01 00:00:45.700000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:30,828 [DEBUG] updateTime: 2024-01-01 00:00:45.800000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:30,829 [DEBUG] updateTime: 2024-01-01 00:00:45.900000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:30,830 [DEBUG] updateTime: 2024-01-01 00:00:46, delta traffic: 625000, percentage: 50.000000 %
2024-02-16 16:07:30,833 [DEBUG] updateTime: 2024-01-01 00:00:46.100000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:30,834 [DEBUG] updateTime: 2024-01-01 00:00:46.200000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:30,836 [DEBUG] updateTime: 2024-01-01 00:00:46.300000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:30,837 [DEBUG] updateTime: 2024-01-01 00:00:46.400000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:30,837 [DEBUG] updateTime: 2024-01-01 00:00:46.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:30,839 [DEBUG] updateTime: 2024-01-01 00:00:46.600000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:30,839 [DEBUG] updateTime: 2024-01-01 00:00:46.700000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:30,840 [DEBUG] updateTime: 2024-01-01 00:00:46.800000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:30,840 [DEBUG] updateTime: 2024-01-01 00:00:46.900000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47, delta traffic: 750000, percentage: 60.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.100000, delta traffic: 762500, percentage: 61.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.200000, delta traffic: 775000, percentage: 62.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.300000, delta traffic: 787500, percentage: 63.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.400000, delta traffic: 800000, percentage: 64.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.500000, delta traffic: 812500, percentage: 65.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.600000, delta traffic: 825000, percentage: 66.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.700000, delta traffic: 837500, percentage: 67.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.800000, delta traffic: 850000, percentage: 68.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:47.900000, delta traffic: 862500, percentage: 69.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:48, delta traffic: 875000, percentage: 70.000000 %
2024-02-16 16:07:30,842 [DEBUG] updateTime: 2024-01-01 00:00:48.100000, delta traffic: 862500, percentage: 69.000000 %
2024-02-16 16:07:30,852 [DEBUG] updateTime: 2024-01-01 00:00:48.200000, delta traffic: 850000, percentage: 68.000000 %
2024-02-16 16:07:30,852 [DEBUG] updateTime: 2024-01-01 00:00:48.300000, delta traffic: 837500, percentage: 67.000000 %
2024-02-16 16:07:30,853 [DEBUG] updateTime: 2024-01-01 00:00:48.400000, delta traffic: 825000, percentage: 66.000000 %
2024-02-16 16:07:30,854 [DEBUG] updateTime: 2024-01-01 00:00:48.500000, delta traffic: 812500, percentage: 65.000000 %
2024-02-16 16:07:30,855 [DEBUG] updateTime: 2024-01-01 00:00:48.600000, delta traffic: 800000, percentage: 64.000000 %
2024-02-16 16:07:30,856 [DEBUG] updateTime: 2024-01-01 00:00:48.700000, delta traffic: 787500, percentage: 63.000000 %
2024-02-16 16:07:30,856 [DEBUG] updateTime: 2024-01-01 00:00:48.800000, delta traffic: 775000, percentage: 62.000000 %
2024-02-16 16:07:30,857 [DEBUG] updateTime: 2024-01-01 00:00:48.900000, delta traffic: 762500, percentage: 61.000000 %
2024-02-16 16:07:30,857 [DEBUG] updateTime: 2024-01-01 00:00:49, delta traffic: 750000, percentage: 60.000000 %
2024-02-16 16:07:30,858 [DEBUG] updateTime: 2024-01-01 00:00:49.100000, delta traffic: 762500, percentage: 61.000000 %
2024-02-16 16:07:30,859 [DEBUG] updateTime: 2024-01-01 00:00:49.200000, delta traffic: 775000, percentage: 62.000000 %
2024-02-16 16:07:30,859 [DEBUG] updateTime: 2024-01-01 00:00:49.300000, delta traffic: 787500, percentage: 63.000000 %
2024-02-16 16:07:30,860 [DEBUG] updateTime: 2024-01-01 00:00:49.400000, delta traffic: 800000, percentage: 64.000000 %
2024-02-16 16:07:30,860 [DEBUG] updateTime: 2024-01-01 00:00:49.500000, delta traffic: 812500, percentage: 65.000000 %
2024-02-16 16:07:30,860 [DEBUG] updateTime: 2024-01-01 00:00:49.600000, delta traffic: 825000, percentage: 66.000000 %
2024-02-16 16:07:30,861 [DEBUG] updateTime: 2024-01-01 00:00:49.700000, delta traffic: 837500, percentage: 67.000000 %
2024-02-16 16:07:30,861 [DEBUG] updateTime: 2024-01-01 00:00:49.800000, delta traffic: 850000, percentage: 68.000000 %
2024-02-16 16:07:30,862 [DEBUG] updateTime: 2024-01-01 00:00:49.900000, delta traffic: 862500, percentage: 69.000000 %
2024-02-16 16:07:30,862 [DEBUG] updateTime: 2024-01-01 00:00:50, delta traffic: 875000, percentage: 70.000000 %
2024-02-16 16:07:30,862 [DEBUG] updateTime: 2024-01-01 00:00:50.100000, delta traffic: 887500, percentage: 71.000000 %
2024-02-16 16:07:30,863 [DEBUG] updateTime: 2024-01-01 00:00:50.200000, delta traffic: 900000, percentage: 72.000000 %
2024-02-16 16:07:30,863 [DEBUG] updateTime: 2024-01-01 00:00:50.300000, delta traffic: 912500, percentage: 73.000000 %
2024-02-16 16:07:30,864 [DEBUG] updateTime: 2024-01-01 00:00:50.400000, delta traffic: 925000, percentage: 74.000000 %
2024-02-16 16:07:30,864 [DEBUG] updateTime: 2024-01-01 00:00:50.500000, delta traffic: 937500, percentage: 75.000000 %
2024-02-16 16:07:30,865 [DEBUG] updateTime: 2024-01-01 00:00:50.600000, delta traffic: 950000, percentage: 76.000000 %
2024-02-16 16:07:30,865 [DEBUG] updateTime: 2024-01-01 00:00:50.700000, delta traffic: 962500, percentage: 77.000000 %
2024-02-16 16:07:30,866 [DEBUG] updateTime: 2024-01-01 00:00:50.800000, delta traffic: 975000, percentage: 78.000000 %
2024-02-16 16:07:30,866 [DEBUG] updateTime: 2024-01-01 00:00:50.900000, delta traffic: 987500, percentage: 79.000000 %
2024-02-16 16:07:30,866 [DEBUG] updateTime: 2024-01-01 00:00:51, delta traffic: 1000000, percentage: 80.000000 %
2024-02-16 16:07:30,867 [DEBUG] updateTime: 2024-01-01 00:00:51.100000, delta traffic: 1012500, percentage: 81.000000 %
2024-02-16 16:07:30,867 [DEBUG] updateTime: 2024-01-01 00:00:51.200000, delta traffic: 1025000, percentage: 82.000000 %
2024-02-16 16:07:30,868 [DEBUG] updateTime: 2024-01-01 00:00:51.300000, delta traffic: 1037500, percentage: 83.000000 %
2024-02-16 16:07:30,868 [DEBUG] updateTime: 2024-01-01 00:00:51.400000, delta traffic: 1050000, percentage: 84.000000 %
2024-02-16 16:07:30,869 [DEBUG] updateTime: 2024-01-01 00:00:51.500000, delta traffic: 1062500, percentage: 85.000000 %
2024-02-16 16:07:30,870 [DEBUG] updateTime: 2024-01-01 00:00:51.600000, delta traffic: 1075000, percentage: 86.000000 %
2024-02-16 16:07:30,870 [DEBUG] updateTime: 2024-01-01 00:00:51.700000, delta traffic: 1087500, percentage: 87.000000 %
2024-02-16 16:07:30,871 [DEBUG] updateTime: 2024-01-01 00:00:51.800000, delta traffic: 1100000, percentage: 88.000000 %
2024-02-16 16:07:30,871 [DEBUG] updateTime: 2024-01-01 00:00:51.900000, delta traffic: 1112500, percentage: 89.000000 %
2024-02-16 16:07:30,872 [DEBUG] updateTime: 2024-01-01 00:00:52, delta traffic: 1125000, percentage: 90.000000 %
2024-02-16 16:07:30,872 [DEBUG] updateTime: 2024-01-01 00:00:52.100000, delta traffic: 1137500, percentage: 91.000000 %
2024-02-16 16:07:30,873 [DEBUG] updateTime: 2024-01-01 00:00:52.200000, delta traffic: 1150000, percentage: 92.000000 %
2024-02-16 16:07:30,873 [DEBUG] updateTime: 2024-01-01 00:00:52.300000, delta traffic: 1162500, percentage: 93.000000 %
2024-02-16 16:07:30,874 [DEBUG] updateTime: 2024-01-01 00:00:52.400000, delta traffic: 1175000, percentage: 94.000000 %
2024-02-16 16:07:30,874 [DEBUG] updateTime: 2024-01-01 00:00:52.500000, delta traffic: 1187500, percentage: 95.000000 %
2024-02-16 16:07:30,875 [DEBUG] updateTime: 2024-01-01 00:00:52.600000, delta traffic: 1200000, percentage: 96.000000 %
2024-02-16 16:07:30,875 [DEBUG] updateTime: 2024-01-01 00:00:52.700000, delta traffic: 1212500, percentage: 97.000000 %
2024-02-16 16:07:30,876 [DEBUG] updateTime: 2024-01-01 00:00:52.800000, delta traffic: 1225000, percentage: 98.000000 %
2024-02-16 16:07:30,876 [DEBUG] updateTime: 2024-01-01 00:00:52.900000, delta traffic: 1237500, percentage: 99.000000 %
2024-02-16 16:07:30,876 [DEBUG] updateTime: 2024-01-01 00:00:53, delta traffic: 1250000, percentage: 100.000000 %
2024-02-16 16:07:30,877 [DEBUG] updateTime: 2024-01-01 00:00:53.100000, delta traffic: 1237500, percentage: 99.000000 %
2024-02-16 16:07:30,877 [DEBUG] updateTime: 2024-01-01 00:00:53.200000, delta traffic: 1225000, percentage: 98.000000 %
2024-02-16 16:07:30,878 [DEBUG] updateTime: 2024-01-01 00:00:53.300000, delta traffic: 1212500, percentage: 97.000000 %
2024-02-16 16:07:30,878 [DEBUG] updateTime: 2024-01-01 00:00:53.400000, delta traffic: 1200000, percentage: 96.000000 %
2024-02-16 16:07:30,879 [DEBUG] updateTime: 2024-01-01 00:00:53.500000, delta traffic: 1187500, percentage: 95.000000 %
2024-02-16 16:07:30,879 [DEBUG] updateTime: 2024-01-01 00:00:53.600000, delta traffic: 1175000, percentage: 94.000000 %
2024-02-16 16:07:30,880 [DEBUG] updateTime: 2024-01-01 00:00:53.700000, delta traffic: 1162500, percentage: 93.000000 %
2024-02-16 16:07:30,913 [DEBUG] updateTime: 2024-01-01 00:00:53.800000, delta traffic: 1150000, percentage: 92.000000 %
2024-02-16 16:07:30,914 [DEBUG] updateTime: 2024-01-01 00:00:53.900000, delta traffic: 1137500, percentage: 91.000000 %
2024-02-16 16:07:30,917 [DEBUG] updateTime: 2024-01-01 00:00:54, delta traffic: 1125000, percentage: 90.000000 %
2024-02-16 16:07:30,947 [DEBUG] updateTime: 2024-01-01 00:00:54.100000, delta traffic: 1112500, percentage: 89.000000 %
2024-02-16 16:07:30,951 [DEBUG] updateTime: 2024-01-01 00:00:54.200000, delta traffic: 1100000, percentage: 88.000000 %
2024-02-16 16:07:30,953 [DEBUG] updateTime: 2024-01-01 00:00:54.300000, delta traffic: 1087500, percentage: 87.000000 %
2024-02-16 16:07:30,954 [DEBUG] updateTime: 2024-01-01 00:00:54.400000, delta traffic: 1075000, percentage: 86.000000 %
2024-02-16 16:07:30,964 [DEBUG] updateTime: 2024-01-01 00:00:54.500000, delta traffic: 1062500, percentage: 85.000000 %
2024-02-16 16:07:30,966 [DEBUG] updateTime: 2024-01-01 00:00:54.600000, delta traffic: 1050000, percentage: 84.000000 %
2024-02-16 16:07:30,967 [DEBUG] updateTime: 2024-01-01 00:00:54.700000, delta traffic: 1037500, percentage: 83.000000 %
2024-02-16 16:07:30,968 [DEBUG] updateTime: 2024-01-01 00:00:54.800000, delta traffic: 1025000, percentage: 82.000000 %
2024-02-16 16:07:30,968 [DEBUG] updateTime: 2024-01-01 00:00:54.900000, delta traffic: 1012500, percentage: 81.000000 %
2024-02-16 16:07:30,990 [DEBUG] updateTime: 2024-01-01 00:00:55, delta traffic: 1000000, percentage: 80.000000 %
2024-02-16 16:07:30,991 [DEBUG] updateTime: 2024-01-01 00:00:55.100000, delta traffic: 987500, percentage: 79.000000 %
2024-02-16 16:07:30,997 [DEBUG] updateTime: 2024-01-01 00:00:55.200000, delta traffic: 975000, percentage: 78.000000 %
2024-02-16 16:07:31,021 [DEBUG] updateTime: 2024-01-01 00:00:55.300000, delta traffic: 962500, percentage: 77.000000 %
2024-02-16 16:07:31,023 [DEBUG] updateTime: 2024-01-01 00:00:55.400000, delta traffic: 950000, percentage: 76.000000 %
2024-02-16 16:07:31,024 [DEBUG] updateTime: 2024-01-01 00:00:55.500000, delta traffic: 937500, percentage: 75.000000 %
2024-02-16 16:07:31,041 [DEBUG] updateTime: 2024-01-01 00:00:55.600000, delta traffic: 925000, percentage: 74.000000 %
2024-02-16 16:07:31,042 [DEBUG] updateTime: 2024-01-01 00:00:55.700000, delta traffic: 912500, percentage: 73.000000 %
2024-02-16 16:07:31,046 [DEBUG] updateTime: 2024-01-01 00:00:55.800000, delta traffic: 900000, percentage: 72.000000 %
2024-02-16 16:07:31,054 [DEBUG] updateTime: 2024-01-01 00:00:55.900000, delta traffic: 887500, percentage: 71.000000 %
2024-02-16 16:07:31,060 [DEBUG] updateTime: 2024-01-01 00:00:56, delta traffic: 875000, percentage: 70.000000 %
2024-02-16 16:07:31,061 [DEBUG] updateTime: 2024-01-01 00:00:56.100000, delta traffic: 862500, percentage: 69.000000 %
2024-02-16 16:07:31,061 [DEBUG] updateTime: 2024-01-01 00:00:56.200000, delta traffic: 850000, percentage: 68.000000 %
2024-02-16 16:07:31,062 [DEBUG] updateTime: 2024-01-01 00:00:56.300000, delta traffic: 837500, percentage: 67.000000 %
2024-02-16 16:07:31,062 [DEBUG] updateTime: 2024-01-01 00:00:56.400000, delta traffic: 825000, percentage: 66.000000 %
2024-02-16 16:07:31,063 [DEBUG] updateTime: 2024-01-01 00:00:56.500000, delta traffic: 812500, percentage: 65.000000 %
2024-02-16 16:07:31,063 [DEBUG] updateTime: 2024-01-01 00:00:56.600000, delta traffic: 800000, percentage: 64.000000 %
2024-02-16 16:07:31,064 [DEBUG] updateTime: 2024-01-01 00:00:56.700000, delta traffic: 787500, percentage: 63.000000 %
2024-02-16 16:07:31,065 [DEBUG] updateTime: 2024-01-01 00:00:56.800000, delta traffic: 775000, percentage: 62.000000 %
2024-02-16 16:07:31,065 [DEBUG] updateTime: 2024-01-01 00:00:56.900000, delta traffic: 762500, percentage: 61.000000 %
2024-02-16 16:07:31,066 [DEBUG] updateTime: 2024-01-01 00:00:57, delta traffic: 750000, percentage: 60.000000 %
2024-02-16 16:07:31,066 [DEBUG] updateTime: 2024-01-01 00:00:57.100000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:31,067 [DEBUG] updateTime: 2024-01-01 00:00:57.200000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:31,068 [DEBUG] updateTime: 2024-01-01 00:00:57.300000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:31,068 [DEBUG] updateTime: 2024-01-01 00:00:57.400000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:31,069 [DEBUG] updateTime: 2024-01-01 00:00:57.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:31,069 [DEBUG] updateTime: 2024-01-01 00:00:57.600000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:31,071 [DEBUG] updateTime: 2024-01-01 00:00:57.700000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:31,071 [DEBUG] updateTime: 2024-01-01 00:00:57.800000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:31,072 [DEBUG] updateTime: 2024-01-01 00:00:57.900000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:31,073 [DEBUG] updateTime: 2024-01-01 00:00:58, delta traffic: 625000, percentage: 50.000000 %
2024-02-16 16:07:31,073 [DEBUG] updateTime: 2024-01-01 00:00:58.100000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:31,074 [DEBUG] updateTime: 2024-01-01 00:00:58.200000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:31,074 [DEBUG] updateTime: 2024-01-01 00:00:58.300000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:31,075 [DEBUG] updateTime: 2024-01-01 00:00:58.400000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:31,075 [DEBUG] updateTime: 2024-01-01 00:00:58.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:31,076 [DEBUG] updateTime: 2024-01-01 00:00:58.600000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:31,076 [DEBUG] updateTime: 2024-01-01 00:00:58.700000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:31,077 [DEBUG] updateTime: 2024-01-01 00:00:58.800000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:31,078 [DEBUG] updateTime: 2024-01-01 00:00:58.900000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:31,078 [DEBUG] updateTime: 2024-01-01 00:00:59, delta traffic: 750000, percentage: 60.000000 %
2024-02-16 16:07:31,079 [DEBUG] updateTime: 2024-01-01 00:00:59.100000, delta traffic: 737500, percentage: 59.000000 %
2024-02-16 16:07:31,080 [DEBUG] updateTime: 2024-01-01 00:00:59.200000, delta traffic: 725000, percentage: 58.000000 %
2024-02-16 16:07:31,081 [DEBUG] updateTime: 2024-01-01 00:00:59.300000, delta traffic: 712500, percentage: 57.000000 %
2024-02-16 16:07:31,081 [DEBUG] updateTime: 2024-01-01 00:00:59.400000, delta traffic: 700000, percentage: 56.000000 %
2024-02-16 16:07:31,082 [DEBUG] updateTime: 2024-01-01 00:00:59.500000, delta traffic: 687500, percentage: 55.000000 %
2024-02-16 16:07:31,083 [DEBUG] updateTime: 2024-01-01 00:00:59.600000, delta traffic: 675000, percentage: 54.000000 %
2024-02-16 16:07:31,084 [DEBUG] updateTime: 2024-01-01 00:00:59.700000, delta traffic: 662500, percentage: 53.000000 %
2024-02-16 16:07:31,085 [DEBUG] updateTime: 2024-01-01 00:00:59.800000, delta traffic: 650000, percentage: 52.000000 %
2024-02-16 16:07:31,087 [DEBUG] updateTime: 2024-01-01 00:00:59.900000, delta traffic: 637500, percentage: 51.000000 %
2024-02-16 16:07:31,088 [DEBUG] updateTime: 2024-01-01 00:01:00, delta traffic: 625000, percentage: 50.000000 %
2024-02-16 16:07:31,089 [DEBUG] link: frozenset({'switch3', 'switch1'})
2024-02-16 16:07:31,090 [DEBUG] updateTime: 2024-01-01 00:00:01, delta traffic: 125000, percentage: 10.000000 %
2024-02-16 16:07:31,091 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, delta traffic: 137500, percentage: 11.000000 %
2024-02-16 16:07:31,092 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, delta traffic: 150000, percentage: 12.000000 %
2024-02-16 16:07:31,092 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, delta traffic: 162500, percentage: 13.000000 %
2024-02-16 16:07:31,094 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, delta traffic: 175000, percentage: 14.000000 %
2024-02-16 16:07:31,095 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, delta traffic: 187500, percentage: 15.000000 %
2024-02-16 16:07:31,095 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, delta traffic: 200000, percentage: 16.000000 %
2024-02-16 16:07:31,095 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, delta traffic: 212500, percentage: 17.000000 %
2024-02-16 16:07:31,095 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, delta traffic: 225000, percentage: 18.000000 %
