2024-02-12 15:36:03,581 [INFO] The choosen switches number is 3 and the network link capacity is 10 Mbps
2024-02-12 15:36:03,582 [INFO] LinkCap in Bytes: 1250000 B
2024-02-12 15:36:03,583 [INFO] Creating links..
2024-02-12 15:36:03,583 [INFO] Links creation done!Links created are:
2024-02-12 15:36:03,850 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 15, trafficPerc: 40
2024-02-12 15:36:03,877 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 15, trafficPerc: 50
2024-02-12 15:36:03,886 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 16, trafficPerc: 0
2024-02-12 15:36:03,887 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 16, trafficPerc: 50
2024-02-12 15:36:03,893 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 16, trafficPerc: 40
2024-02-12 15:36:03,900 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 17, trafficPerc: 0
2024-02-12 15:36:03,903 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 17, trafficPerc: 40
2024-02-12 15:36:03,904 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 17, trafficPerc: 50
2024-02-12 15:36:03,909 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 18, trafficPerc: 10
2024-02-12 15:36:03,910 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 18, trafficPerc: 30
2024-02-12 15:36:03,911 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 18, trafficPerc: 60
2024-02-12 15:36:03,915 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 19, trafficPerc: 20
2024-02-12 15:36:03,916 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 19, trafficPerc: 20
2024-02-12 15:36:03,918 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 19, trafficPerc: 50
2024-02-12 15:36:03,942 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 20, trafficPerc: 30
2024-02-12 15:36:03,970 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 20, trafficPerc: 30
2024-02-12 15:36:03,976 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 20, trafficPerc: 40
2024-02-12 15:36:03,997 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 21, trafficPerc: 20
2024-02-12 15:36:04,027 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 21, trafficPerc: 40
2024-02-12 15:36:04,033 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 21, trafficPerc: 50
2024-02-12 15:36:04,039 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 22, trafficPerc: 10
2024-02-12 15:36:04,040 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 22, trafficPerc: 30
2024-02-12 15:36:04,041 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 22, trafficPerc: 60
2024-02-12 15:36:04,046 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 23, trafficPerc: 0
2024-02-12 15:36:04,055 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 23, trafficPerc: 20
2024-02-12 15:36:04,071 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 23, trafficPerc: 70
2024-02-12 15:36:04,086 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 24, trafficPerc: 10
2024-02-12 15:36:04,086 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 24, trafficPerc: 10
2024-02-12 15:36:04,102 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 24, trafficPerc: 60
2024-02-12 15:36:04,122 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 25, trafficPerc: 20
2024-02-12 15:36:04,122 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 25, trafficPerc: 0
2024-02-12 15:36:04,122 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 25, trafficPerc: 70
2024-02-12 15:36:04,137 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 26, trafficPerc: 10
2024-02-12 15:36:04,166 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 26, trafficPerc: 10
2024-02-12 15:36:04,167 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 26, trafficPerc: 60
2024-02-12 15:36:04,171 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 27, trafficPerc: 20
2024-02-12 15:36:04,171 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 27, trafficPerc: 20
2024-02-12 15:36:04,185 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 27, trafficPerc: 70
2024-02-12 15:36:04,191 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 28, trafficPerc: 30
